,user_id,feature_used,session_duration,engagement_score,accessibility_settings,age_group,gender,additional_attributes,user_characteristics
48,user_3293,High Contrast Mode,55.86,1,4,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
49,user_1281,Text-to-Speech,43.48,2,4,Professional,Male,Straight,Professional/Male/Straight
50,user_299,Text-to-Speech,118.75,1,1,Young Adult,Female,Straight,Young Adult/Female/Straight
51,user_5570,Text-to-Speech,103.28,5,3,Teenager,Male,Straight,Teenager/Male/Straight
52,user_5795,Text-to-Speech,59.2,2,2,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
53,user_7192,Visual Aid,103.72,4,3,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
54,user_8115,High Contrast Mode,64.2,2,4,Adult,Male,Straight,Adult/Male/Straight
55,user_1088,Multilingual,81.45,3,1,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
56,user_741,Text-to-Speech,7.22,5,3,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
57,user_3358,Visual Aid,88.17,4,0,Senior,Female,Straight,Senior/Female/Straight
58,user_902,Multilingual,85.98,4,5,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
59,user_2358,Text-to-Speech,30.7,2,4,Teenager,Female,Straight,Teenager/Female/Straight
60,user_7553,Visual Aid,74.23,3,2,Young Adult,Female,Straight,Young Adult/Female/Straight
61,user_5416,Multilingual,55.49,4,2,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
62,user_9393,High Contrast Mode,90.26,3,1,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
63,user_6789,Multilingual,114.84,2,5,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
64,user_680,Visual Aid,26.53,1,0,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
65,user_9130,Text-to-Speech,29.38,4,3,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
66,user_8943,Colorblind Mode,109.46,5,3,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
67,user_9474,Colorblind Mode,92.22,3,2,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
68,user_5418,Visual Aid,79.64,1,0,Professional,Male,Straight,Professional/Male/Straight
69,user_8979,Multilingual,55.12,4,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
70,user_6276,Visual Aid,106.53,3,1,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
71,user_9992,Text-to-Speech,71.85,4,2,Professional,Female,Straight,Professional/Female/Straight
72,user_7396,Visual Aid,14.5,3,2,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
73,user_9960,Text-to-Speech,11.16,4,4,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
74,user_3098,High Contrast Mode,106.12,1,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
75,user_5436,Multilingual,16.96,5,3,Senior,Male,Straight,Senior/Male/Straight
76,user_8543,Colorblind Mode,59.57,1,3,Senior,Female,Straight,Senior/Female/Straight
77,user_4906,Colorblind Mode,41.7,3,5,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
78,user_3340,Multilingual,85.7,4,0,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
79,user_4192,Multilingual,87.09,3,5,Adult,Male,Straight,Adult/Male/Straight
80,user_2640,Multilingual,93.79,3,0,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
81,user_3086,Colorblind Mode,78.38,1,3,Teenager,Female,Straight,Teenager/Female/Straight
82,user_1636,Multilingual,62.02,3,3,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
83,user_4289,Colorblind Mode,6.12,4,0,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
84,user_9296,Colorblind Mode,7.78,5,3,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
85,user_4531,Text-to-Speech,111.87,4,1,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
86,user_5463,Multilingual,110.44,1,1,Senior,Female,Straight,Senior/Female/Straight
87,user_2738,High Contrast Mode,24.93,3,0,Senior,Female,Straight,Senior/Female/Straight
88,user_1662,Text-to-Speech,28.06,2,1,Senior,Male,Straight,Senior/Male/Straight
89,user_2766,High Contrast Mode,102.31,5,2,Teenager,Male,Straight,Teenager/Male/Straight
90,user_5663,Colorblind Mode,93.91,2,4,Senior,Male,Straight,Senior/Male/Straight
91,user_8982,Colorblind Mode,69.57,2,1,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
92,user_7099,High Contrast Mode,37.94,3,4,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
93,user_744,Multilingual,14.06,2,4,Adult,Male,Straight,Adult/Male/Straight
94,user_6952,Text-to-Speech,50.09,5,0,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
95,user_2277,Visual Aid,74.45,2,1,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
96,user_81,Visual Aid,61.44,1,5,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
97,user_8392,Visual Aid,79.97,5,1,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
98,user_1762,Visual Aid,33.06,4,0,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
99,user_9037,Visual Aid,68.46,5,1,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
100,user_730,Colorblind Mode,31.78,5,5,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
101,user_4466,Visual Aid,87.92,4,3,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
102,user_783,Colorblind Mode,82.07,2,1,Adult,Male,Straight,Adult/Male/Straight
103,user_9409,Text-to-Speech,114.38,2,5,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
104,user_9581,Colorblind Mode,80.93,2,5,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
105,user_1892,High Contrast Mode,116.32,3,2,Professional,Male,Straight,Professional/Male/Straight
106,user_5194,High Contrast Mode,80.43,2,3,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
107,user_2034,Colorblind Mode,71.92,3,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
108,user_4948,Visual Aid,97.61,2,1,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
109,user_1702,Multilingual,54.66,2,1,Young Adult,Male,Straight,Young Adult/Male/Straight
110,user_4782,High Contrast Mode,42.65,1,3,Adult,Female,Straight,Adult/Female/Straight
111,user_35,High Contrast Mode,13.67,2,1,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
112,user_5870,Multilingual,65.68,2,2,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
113,user_977,Visual Aid,73.68,5,2,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
114,user_9149,Visual Aid,21.99,4,2,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
115,user_5713,Multilingual,79.81,5,4,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
116,user_234,High Contrast Mode,13.29,4,1,Senior,Female,Straight,Senior/Female/Straight
117,user_1298,High Contrast Mode,8.45,5,0,Young Adult,Female,Straight,Young Adult/Female/Straight
118,user_3968,High Contrast Mode,9.48,4,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
119,user_4363,Colorblind Mode,14.58,2,1,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
120,user_7852,Visual Aid,45.1,2,5,Adult,Female,Straight,Adult/Female/Straight
121,user_4469,Colorblind Mode,45.54,3,1,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
122,user_2647,Colorblind Mode,6.3,5,4,Adult,Female,Straight,Adult/Female/Straight
123,user_9854,Colorblind Mode,92.13,5,1,Young Adult,Male,Straight,Young Adult/Male/Straight
124,user_6579,Text-to-Speech,91.67,5,0,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
125,user_3591,Colorblind Mode,37.94,4,0,Teenager,Male,Straight,Teenager/Male/Straight
126,user_6794,Colorblind Mode,60.9,1,0,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
127,user_4173,Multilingual,7.63,5,3,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
128,user_1183,High Contrast Mode,30.36,5,4,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
129,user_2993,Visual Aid,68.86,2,3,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
130,user_2815,Text-to-Speech,84.96,5,4,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
131,user_6750,Colorblind Mode,62.16,3,2,Teenager,Male,Straight,Teenager/Male/Straight
132,user_4968,Multilingual,60.62,4,0,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
133,user_7410,Visual Aid,35.78,3,2,Senior,Female,Straight,Senior/Female/Straight
134,user_2223,Text-to-Speech,38.45,5,2,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
135,user_5248,High Contrast Mode,106.51,3,0,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
136,user_4374,Visual Aid,7.56,5,5,Teenager,Male,Straight,Teenager/Male/Straight
137,user_3592,Text-to-Speech,101.11,5,4,Senior,Male,Straight,Senior/Male/Straight
138,user_9420,Text-to-Speech,59.53,5,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
139,user_2922,Visual Aid,26.0,2,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
140,user_4676,High Contrast Mode,21.39,3,4,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
141,user_5580,Visual Aid,47.55,3,5,Professional,Male,Straight,Professional/Male/Straight
142,user_3472,Multilingual,31.99,2,0,Adult,Female,Straight,Adult/Female/Straight
143,user_9826,Visual Aid,60.6,2,1,Adult,Male,Straight,Adult/Male/Straight
144,user_6519,Multilingual,50.61,5,2,Senior,Female,Straight,Senior/Female/Straight
145,user_215,High Contrast Mode,27.86,1,5,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
146,user_4739,Visual Aid,84.68,1,4,Adult,Male,Straight,Adult/Male/Straight
147,user_2073,Multilingual,92.36,5,3,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
148,user_4154,Colorblind Mode,51.15,3,3,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
149,user_429,High Contrast Mode,111.56,1,4,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
150,user_8797,High Contrast Mode,96.71,5,0,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
151,user_1371,Text-to-Speech,10.77,3,5,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
152,user_7431,Colorblind Mode,102.33,3,0,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
153,user_4640,Colorblind Mode,24.16,1,0,Young Adult,Female,Straight,Young Adult/Female/Straight
154,user_4530,Visual Aid,110.21,4,2,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
155,user_2265,Multilingual,99.11,4,3,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
156,user_6020,High Contrast Mode,74.39,5,1,Adult,Male,Straight,Adult/Male/Straight
157,user_3888,Multilingual,19.05,1,0,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
158,user_9359,Visual Aid,66.31,1,2,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
159,user_6557,High Contrast Mode,47.03,4,1,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
160,user_8650,Visual Aid,62.58,1,3,Young Adult,Female,Straight,Young Adult/Female/Straight
161,user_5529,High Contrast Mode,44.05,3,3,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
162,user_3044,Multilingual,114.38,3,0,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
163,user_7409,Multilingual,79.83,5,5,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
164,user_7087,High Contrast Mode,113.12,5,0,Professional,Male,Straight,Professional/Male/Straight
165,user_8244,Multilingual,55.07,3,2,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
166,user_2899,Visual Aid,47.49,5,1,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
167,user_314,Multilingual,74.18,3,4,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
168,user_9313,Visual Aid,111.73,1,4,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
169,user_1604,Text-to-Speech,29.58,3,1,Teenager,Male,Straight,Teenager/Male/Straight
170,user_8980,Text-to-Speech,35.34,2,5,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
171,user_8994,Text-to-Speech,83.15,4,0,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
172,user_1673,Colorblind Mode,61.58,2,5,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
173,user_2711,Text-to-Speech,26.38,2,2,Senior,Male,Straight,Senior/Male/Straight
174,user_2498,Colorblind Mode,34.24,4,2,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
175,user_5025,Colorblind Mode,88.79,1,3,Senior,Male,Straight,Senior/Male/Straight
176,user_6295,Colorblind Mode,72.33,4,1,Teenager,Male,Straight,Teenager/Male/Straight
177,user_6387,Colorblind Mode,72.86,4,2,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
178,user_2015,Multilingual,114.21,5,4,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
179,user_4255,Visual Aid,28.1,2,2,Teenager,Female,Straight,Teenager/Female/Straight
180,user_2615,Multilingual,34.21,4,1,Adult,Male,Straight,Adult/Male/Straight
182,user_642,Colorblind Mode,93.25,4,0,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
183,user_9920,Multilingual,94.14,3,0,Professional,Female,Straight,Professional/Female/Straight
184,user_7999,High Contrast Mode,52.06,1,0,Adult,Male,Straight,Adult/Male/Straight
185,user_27,High Contrast Mode,105.81,4,3,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
186,user_2645,High Contrast Mode,40.32,5,4,Teenager,Female,Straight,Teenager/Female/Straight
187,user_132,Colorblind Mode,39.44,3,5,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
188,user_9962,High Contrast Mode,29.18,5,4,Teenager,Female,Straight,Teenager/Female/Straight
189,user_7669,High Contrast Mode,33.88,4,1,Professional,Female,Straight,Professional/Female/Straight
190,user_9617,Multilingual,109.31,3,0,Teenager,Female,Straight,Teenager/Female/Straight
191,user_251,Visual Aid,102.4,4,3,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
192,user_9952,Text-to-Speech,119.57,3,3,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
193,user_7133,Visual Aid,43.79,2,0,Senior,Male,Straight,Senior/Male/Straight
194,user_4045,High Contrast Mode,104.58,1,2,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
195,user_5865,Text-to-Speech,109.69,3,3,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
196,user_1664,High Contrast Mode,75.27,4,3,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
197,user_5213,Visual Aid,6.25,2,5,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
198,user_1269,Visual Aid,73.49,3,1,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
199,user_1226,Colorblind Mode,78.24,5,4,Professional,Male,Straight,Professional/Male/Straight
200,user_7688,Colorblind Mode,61.39,5,3,Adult,Female,Straight,Adult/Female/Straight
201,user_5597,Multilingual,105.75,3,2,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
202,user_3494,Text-to-Speech,68.39,4,1,Young Adult,Female,Straight,Young Adult/Female/Straight
203,user_3863,Visual Aid,118.68,4,1,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
204,user_1922,Text-to-Speech,41.45,3,1,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
205,user_7207,Visual Aid,91.85,3,5,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
206,user_900,Multilingual,51.48,4,2,Professional,Female,Straight,Professional/Female/Straight
207,user_2217,Colorblind Mode,66.79,3,3,Adult,Male,Straight,Adult/Male/Straight
208,user_5740,High Contrast Mode,7.71,2,2,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
210,user_3920,High Contrast Mode,40.6,5,1,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
211,user_8174,Visual Aid,85.12,5,1,Senior,Female,Straight,Senior/Female/Straight
212,user_9807,Multilingual,90.67,5,4,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
213,user_7766,Colorblind Mode,57.81,4,2,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
214,user_28,Text-to-Speech,19.3,5,3,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
215,user_8707,Visual Aid,58.37,2,0,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
216,user_6378,Colorblind Mode,57.67,1,0,Young Adult,Male,Straight,Young Adult/Male/Straight
217,user_843,Visual Aid,7.55,4,1,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
218,user_5053,High Contrast Mode,119.53,1,5,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
219,user_3862,Text-to-Speech,42.23,1,4,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
220,user_7663,Text-to-Speech,9.31,3,4,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
221,user_7842,Colorblind Mode,54.15,4,5,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
223,user_9017,High Contrast Mode,20.35,4,2,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
224,user_7550,High Contrast Mode,13.83,1,1,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
225,user_2951,Colorblind Mode,106.93,3,4,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
226,user_6026,High Contrast Mode,83.3,2,3,Young Adult,Male,Straight,Young Adult/Male/Straight
227,user_3250,Colorblind Mode,95.85,2,5,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
228,user_7655,High Contrast Mode,10.3,4,4,Teenager,Female,Straight,Teenager/Female/Straight
229,user_1416,Text-to-Speech,6.46,1,5,Teenager,Male,Straight,Teenager/Male/Straight
230,user_8067,Visual Aid,56.29,2,1,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
231,user_2267,Text-to-Speech,46.21,3,1,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
232,user_582,Text-to-Speech,61.05,4,4,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
233,user_1882,Text-to-Speech,54.52,1,4,Adult,Female,Straight,Adult/Female/Straight
234,user_5298,Text-to-Speech,50.39,2,2,Teenager,Male,Straight,Teenager/Male/Straight
235,user_3776,Colorblind Mode,57.34,1,3,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
236,user_3935,Multilingual,65.05,3,5,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
237,user_3722,High Contrast Mode,84.44,2,1,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
238,user_407,Multilingual,39.43,1,3,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
239,user_122,Text-to-Speech,93.08,4,4,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
240,user_3272,Multilingual,84.71,3,5,Teenager,Male,Straight,Teenager/Male/Straight
241,user_3054,High Contrast Mode,58.31,1,3,Senior,Male,Straight,Senior/Male/Straight
242,user_5516,Text-to-Speech,103.57,5,0,Young Adult,Female,Straight,Young Adult/Female/Straight
243,user_6272,Visual Aid,100.98,1,3,Young Adult,Male,Straight,Young Adult/Male/Straight
244,user_9428,Colorblind Mode,48.72,5,5,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
245,user_6812,Visual Aid,24.36,1,1,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
246,user_4451,Visual Aid,50.62,4,3,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
247,user_7292,Visual Aid,85.24,1,4,Teenager,Female,Straight,Teenager/Female/Straight
248,user_4120,Colorblind Mode,49.25,4,0,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
249,user_1101,Text-to-Speech,82.41,4,4,Young Adult,Male,Straight,Young Adult/Male/Straight
250,user_3127,High Contrast Mode,56.34,5,3,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
251,user_3865,Multilingual,108.66,2,1,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
252,user_1147,Multilingual,54.16,3,1,Senior,Male,Straight,Senior/Male/Straight
253,user_1645,Multilingual,25.91,3,5,Teenager,Female,Straight,Teenager/Female/Straight
254,user_5846,Colorblind Mode,114.76,5,5,Senior,Male,Straight,Senior/Male/Straight
255,user_1499,Text-to-Speech,101.53,5,1,Teenager,Female,Straight,Teenager/Female/Straight
256,user_9746,Text-to-Speech,115.26,1,4,Senior,Male,Straight,Senior/Male/Straight
257,user_6793,High Contrast Mode,118.26,1,5,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
259,user_3716,Multilingual,93.97,1,5,Teenager,Male,Straight,Teenager/Male/Straight
260,user_9998,Text-to-Speech,60.42,1,3,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
